,OBJECTID,GEOID,CITY,COUNTY,STATEABB,COUNTYFIPS,CBSA,CBSANAME,STATEFIPS,POPULATION,DOE_DAC,LINGISOPCT,OVER64PCT,PRE1960PCT,DSLPM,CANCER,PTRAF,PWDIS,PNPL,PRMP,PTSDF,PM25,LONGCOMPCT,NOCARPCT,ENERGYBRDN,FOSSEMPLMT,COALEMPLMT,OUTAGECNT,OUTAGEDUR,FOODSRTPCT,JOBACCESS,HOUSEBRDN,RENTPCT,TRNSPTBRDN,NOINTPCT,GREENSPACE,HOMELESPCT,UNINSURPCT,UNEMPPCT,DISABLPCT,INCPLMBPCT,SNGLPNTPCT,MOBILHMPCT,NONGRIDPCT,LESSHSPCT,LOWINCFPCT,LOWINCAPCT,EAL_NPCTL,ST_ABBR,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,total_work,non_transi,transit_us,est_vmiles,est_annual,Avg_Annual,five_year_,Highway_MP,Mean_Annua,Mean_Ann_1,Average_au,Average_An,Average__1,travel_tim,average__2,transporta,zero_vehic,EPL_NOVEH,one_vehicl,two_vehicl,three_vehi,EPL_COMMUT,EPL_TCB,NWKI,EPL_NWKI,Transp_TH,EPL_AGE65,EP_UNINSUR,EPL_UNINSU,EPL_DISABL,Health_TH,EPL_NOHSDP,B25003_c_2,EPL_Renter,EPL_UNEMP,EPL_PCI,EPL_POV,GINI,EPL_GINI,B25106_001,B25106_002,B25106_006,B25106_010,B25106_014,B25106_018,B25106_022,B25106_024,B25106_028,B25106_032,B25106_036,B25106_040,B25106_044,P_HUCB,EPL_HUCB,Economy_TH,EPL_LIMENG,Equity_TH,Resilience,P_LDPNT,P_DSLPM,P_CANCR,P_RESP,P_OZONE,P_PM25,ENVIRO_TH,Transpor_1,HealthDis,EconomyDis,EquityDis,Resilien_1,EnviroDis,SumDis,DOT_DAC,Shape_Leng,Count_,NEVI_DAC,Shape__Area,Shape__Length
0,1,6001400700,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,5128,0,0.0485,0.1134,0.7358,3.494,116.4442,17401.2051,0.0,0.844,2.0492,66.3408,44.8886,0.5606,0.0705,1,0.0009,0.0005,2,730,1,-7.1,22,67,15,7.8,0,4.165,0.1049,0.0695,0.108,0.0,0.27,0.0,0.0533,0.0425,0.3322,0.5558,86.7801,CA,6001400700,"Census Tract 4007, Alameda County, California",0.339887135008,5116,3223,1246,929,27.27,6817.5,43267,3.18818043,23.61574858,8500,141.6666667,1.57,9212.403696,2098.43626,2637.231107,6803.56753,0.157246112,7.0,83.5,43.7,34.6,14.7,87.6,4.932119159,16.0,5.0264,45.2646297898,28.85,12.4,74.0310777,52.24,51.7070259,43.14,62.7,85,52.17,24.96,53.06,0.4447,66,1951,728,32,63,41,44,43,1223,131,156,64,91,20,35.1101998975,66.6703,55.8571857143,78.79,78.79,86.7801317,89.7597709133,89.9089455748,39.483217178,65.2187391461,1.49520853154,94.628583114,63.4157440763,0,1,1,1,1,1,5,1,0.0421828805279,1,1,1404190.8984375,5366.23474605112
1,2,6001400800,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,4069,0,0.0193,0.0998,0.6433,2.6841,86.0645,6048.6017,0.0,0.619,1.9131,51.2924,33.4806,0.5477,0.0767,1,0.0009,0.0005,2,730,1,-6.5,25,63,15,11.3,-1,4.165,0.0509,0.0566,0.0725,0.0,0.4674,0.0,0.0672,0.0369,0.3595,0.2931,81.8254,CA,6001400800,"Census Tract 4008, Alameda County, California",0.268818884276,3792,2381,879,707,29.91,7477.5,46214,3.18818043,23.61574858,7325,122.0833333,1.689,10151.03526,2098.43626,2272.672689,6643.254137,0.143749819,7.7,85.1,31.3,45.1,15.8,71.3,3.736916627,16.16666667,4.2576,41.0986291567,22.36,5.6,35.6491189,22.58,26.8630396333,30.61,59.6,82,69.72,21.0,50.53,0.4698,78,1652,668,45,27,45,33,123,984,77,171,8,115,61,42.6755447942,82.65,59.2157142857,76.95,76.95,81.82543065,84.765615031,90.6286620646,37.3868410465,64.2454779386,1.19254298351,94.4449700825,62.1106848578,0,0,1,1,1,1,4,1,0.0375397526917,1,1,1106726.359375,4739.31697605312
2,3,6001401000,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,6133,1,0.0414,0.0973,0.7816,5.3583,176.2358,80702.7464,0.0,1.6209,3.2863,99.659,67.3066,0.6188,0.1499,2,0.0009,0.0005,2,730,1,-8.2,21,69,14,13.9,0,4.165,0.0713,0.0495,0.1457,0.0202,0.5126,0.0,0.0275,0.1393,0.2701,0.4866,92.2133,CA,6001401000,"Census Tract 4010, Alameda County, California",0.441829259966,6024,3905,1032,1695,28.02,7005.0,43636,3.18818043,23.61574858,7425,123.75,1.497,8844.579696,2098.43626,2303.698937,5551.959041,0.127233455,15.0,92.7,38.4,28.5,18.1,73.1,2.631944252,14.80555556,11.8307,45.065661063,16.65,7.4,48.4995765,67.09,44.0798588333,67.22,65.4,87,68.91,27.9,73.74,0.4421,64,2470,855,111,65,48,11,121,1615,324,176,31,104,163,46.7206477733,88.6608,68.2044,70.29,70.29,92.21325561,91.7648598198,90.5650433104,40.7127325253,66.4817164445,1.48071247874,94.6070059911,64.2686784283,0,0,1,1,1,1,4,1,0.0449449214052,1,1,1834121.46875,5669.77155853381
3,4,6001401100,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,4287,0,0.0341,0.0391,0.6642,3.44,118.4657,67684.5325,0.0,0.9823,1.9894,79.1489,44.9732,0.5876,0.2232,1,0.0009,0.0005,2,730,1,-8.5,22,78,13,5.6,0,4.165,0.0991,0.0367,0.0702,0.0,0.4383,0.0,0.0642,0.0319,0.2899,0.3576,90.5319,CA,6001401100,"Census Tract 4011, Alameda County, California",0.340925363286,4366,3132,608,1725,28.47,7117.5,53068,3.18818043,23.61574858,8175,136.25,1.174,6964.70893,2098.43626,2536.3958,5044.168973,0.095051047,22.3,95.4,50.9,13.9,12.9,84.2,1.202143313,16.54166667,2.9272,45.9323358283,3.22,8.6,55.9919737,18.6,25.9373245667,16.01,79.8,94,57.8,7.37,53.43,0.4605,74,2071,419,18,11,11,0,87,1652,207,168,139,55,118,39.3046837277,76.5033,54.1590428571,68.59,68.59,90.53190173,85.4261129107,89.4447140167,41.985133631,67.5983883592,1.76270100296,94.6869957062,63.4840076045,0,0,1,1,1,1,4,1,0.0415112729258,1,1,1413390.546875,5447.21417387253
4,5,6001401300,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,3921,1,0.1085,0.1474,0.4743,2.6363,88.8108,48791.772,0.0,1.0815,1.8068,47.9636,33.6439,0.596,0.2371,1,0.0009,0.0005,2,730,0,-9.2,17,86,12,12.1,0,4.165,0.0581,0.0575,0.1544,0.0383,0.5018,0.0,0.0717,0.1067,0.4293,0.6315,95.9788,CA,6001401300,"Census Tract 4013, Alameda County, California",0.331452736818,3855,2299,787,704,19.53,4882.5,46076,3.18818043,23.61574858,8325,138.75,1.196,6518.842694,2098.43626,2582.935172,5457.066676,0.118436207,23.7,95.8,42.4,24.8,9.2,85.9,2.116938283,16.27777778,3.8045,46.9053595708,48.28,10.2,64.6501326,76.48,63.1367108667,66.62,83.9,96,71.21,22.92,83.25,0.5326,94,1827,294,0,0,0,33,59,1533,198,302,110,83,38,45.0465243569,86.4133,74.3447571429,85.63,85.63,95.97877342,75.4743340955,90.0767491352,41.9226465392,66.6131447899,1.69187751975,94.5980274487,61.7294632547,0,1,1,1,1,1,5,1,0.0410211404,1,1,1379345.1796875,5189.11456800916
5,6,6001401400,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,4732,1,0.0667,0.0784,0.8136,2.7085,88.6235,54678.4903,0.0,1.131,1.725,41.3176,33.6739,0.4885,0.135,2,0.0009,0.0005,2,730,0,-9.0,15,82,13,17.9,0,4.165,0.1221,0.065,0.1672,0.0131,0.4524,0.0,0.0594,0.1546,0.5416,0.7214,85.9113,CA,6001401400,"Census Tract 4014, Alameda County, California",0.292743694706,4331,2652,1073,863,21.89,5472.5,31618,3.18818043,23.61574858,7425,123.75,1.55,8645.522605,2098.43626,2303.698937,6484.542168,0.205090207,13.5,91.8,39.2,26.1,21.2,73.1,10.76653988,15.83333333,5.7609,45.35685997,12.47,12.6,74.782331,89.69,58.980777,69.54,81.1,95,63.75,38.61,87.01,0.5922,99,1598,302,9,25,35,15,34,1296,225,245,64,53,111,51.0638297872,93.2286,78.0198,87.9,87.9,85.91127181,93.561221357,90.9075246679,41.5966673774,66.5675449626,1.43786813898,94.6369337383,64.784626707,0,1,1,1,1,1,5,1,0.0391137698036,1,1,1217110.63671875,5100.57778628113
6,7,6001401500,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,2839,1,0.0635,0.1045,0.7381,2.8086,87.1811,25056.5693,0.0,1.1783,1.8726,39.513,33.6266,0.4438,0.0883,2,0.0009,0.0005,2,730,0,-8.5,17,61,14,21.4,-1,4.165,0.0726,0.068,0.2043,0.0166,0.6879,0.0,0.0482,0.0937,0.3565,0.4921,79.5007,CA,6001401500,"Census Tract 4015, Alameda County, California",0.18059534948,2663,1642,585,452,24.96,6240.0,40617,3.18818043,23.61574858,7225,120.4166667,1.905,10940.88978,2098.43626,2241.646441,6717.233352,0.16537985,8.8,87.0,25.0,33.1,33.1,69.5,5.788611566,16.83333333,2.3066,41.1488028915,29.94,10.0,63.7315485,89.44,61.0371828333,57.52,64.3,86,64.68,23.04,69.83,0.5752,98,1142,408,21,19,12,71,55,734,187,51,9,53,74,48.3362521891,90.4813,69.9359,74.42,74.42,79.50068052,89.9267046209,91.8981867715,39.1903511439,66.0235180437,1.26219449849,94.5881076528,63.8148437886,0,1,1,1,1,1,5,1,0.0298232471535,1,1,747058.31640625,3725.4784952948
7,8,6001401600,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,2289,0,0.1153,0.0559,0.4737,1.8573,57.3343,10617.4036,0.0,1.0006,1.3551,22.8896,22.4202,0.5045,0.0978,1,0.0009,0.0005,2,730,0,-8.9,17,78,13,17.7,0,4.165,0.1232,0.0916,0.1581,0.0,0.7072,0.0,0.1049,0.1161,0.4133,0.5711,77.0687,CA,6001401600,"Census Tract 4016, Alameda County, California",0.245586740834,2269,1321,457,446,26.35,6587.5,44054,3.18818043,23.61574858,7750,129.1666667,1.485,8639.996037,2098.43626,2404.534244,6102.021573,0.138512316,9.8,88.4,51.3,19.8,19.2,78.4,3.394042033,15.91666667,5.2996,43.8734105083,4.42,15.4,83.3759182,76.92,54.9053060667,54.67,80.8,95,64.68,29.42,82.8,0.5264,93,896,172,14,6,0,17,6,724,151,91,40,61,30,46.4285714286,88.3107,72.5543857143,87.65,87.65,77.06869767,75.3605899889,91.6848032104,37.2895924351,64.5444626321,1.24454763141,94.5896995841,60.7856159137,0,1,1,1,1,1,5,1,0.0383216222606,1,1,1018226.96875,4610.98754782851
8,9,6001401700,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,3018,0,0.0199,0.0531,0.3429,4.7128,88.6514,18070.6332,0.0,2.1681,1.7711,32.3301,33.3235,0.6316,0.0847,1,0.0009,0.0005,2,730,1,-8.1,25,58,15,7.2,-2,4.165,0.0802,0.0507,0.0919,0.0,0.8192,0.0,0.0842,0.0386,0.1818,0.415,93.1838,CA,6001401700,"Census Tract 4017, Alameda County, California",2.22292898292,3002,1992,929,645,38.34,9585.0,54944,3.18818043,23.61574858,7850,130.8333333,1.527,9871.317638,2098.43626,2435.560493,7718.66565,0.140482412,8.5,86.5,46.7,28.4,16.4,79.9,3.523140565,12.38888889,31.1152,50.2595851412,12.86,8.0,52.2968075,39.64,34.9322691667,27.65,47.0,70,74.66,11.4,63.38,0.3817,25,1295,686,12,24,20,76,78,609,41,23,32,75,8,30.0386100386,52.0855,46.3107857143,71.35,71.35,93.1838491,55.6990172354,97.5851341862,41.6605321047,69.3566496212,0.658221813054,94.3168348901,59.8793983085,1,0,0,1,1,1,4,1,0.146067702829,1,1,10020080.9414063,17405.5330652815
9,10,6001402400,Oakland,"Alameda County, CA",CA,6001,41860,"San Francisco-Oakland-Berkeley, CA",6,2866,1,0.1775,0.1575,0.6399,1.8356,57.3789,8084.7577,0.0,1.7629,1.537,21.4509,22.3921,0.4107,0.0915,2,0.0009,0.0005,2,730,1,-9.0,14,86,13,26.7,0,4.165,0.1117,0.0391,0.1657,0.018,0.5333,0.0,0.1327,0.1835,0.3768,0.6034,64.8373,CA,6001402400,"Census Tract 4024, Alameda County, California",0.130146489956,2787,1672,810,529,21.35,5337.5,40915,3.18818043,23.61574858,6175,102.9166667,1.846,10242.80246,2098.43626,1915.870833,7541.913162,0.184331252,9.2,87.6,31.5,24.8,34.5,47.0,7.958299786,14.33333333,15.7121,39.5675999465,45.84,11.2,69.1319623,74.56,63.1773207667,63.74,76.5,93,24.52,31.35,48.99,0.5867,98,1221,287,15,0,0,26,26,934,282,133,73,24,18,48.8943488943,91.1293,64.3899,82.02,82.02,64.83729499,84.9575939253,91.3568001915,37.3940768081,65.1899819736,1.24384021032,94.5412900321,62.4472638568,0,1,1,1,0,1,4,1,0.0239457245052,1,1,539663.83203125,3023.04995748363
